,biomass_eciCW773,acetate,O2,CO2,lactate,pyruvate,glucose,biomass_iCW773
1.0,0.09297418771632128,0.0,1.8801566877269367,2.1488110657496495,0.0,0.0,1.0,0.09297418771631621
1.5,0.13946128157447626,0.0,2.8202350315900375,3.2232165986245085,0.0,0.0,1.5,0.13946128157447588
2.0,0.185948375432635,0.0,3.760313375453394,4.297622131499337,0.0,0.0,2.0,0.18594837543263432
2.5,0.23243546929079353,0.0,4.700391719316733,5.372027664374177,0.0,0.0,2.5,0.23243546929079323
3.0,0.27892256314895253,0.0,5.640470063180075,6.446433197249017,0.0,0.0,3.0,0.27892256314895175
3.5,0.3254096570071119,0.0,6.580548407043471,7.5208387301238435,0.0,0.0,3.5,0.3254096570071109
4.0,0.3718967508652701,0.0,7.520626750906795,8.595244262998673,0.0,0.0,4.0,0.37189675086526863
4.5,0.4183838447234272,0.0,8.460705094770029,9.669649795873527,0.0,0.0,4.5,0.41838384472342777
5.0,0.45301864849439877,0.2075406912033913,9.1053170558464,10.81992105274239,0.0,0.0,5.0,0.46487093858158646
5.5,0.4647101139121964,1.5825969691275437,8.82666874495758,10.58552309093204,0.0,0.0,5.5,0.5113580324397438
6.0,0.476401579329994,2.957653247051649,8.548020434068802,10.351125129121707,0.0,0.0,6.0,0.5578451262979035
6.5,0.4799282972318952,3.6749677632931386,8.253866813554609,10.070319578561412,0.0,0.0,6.5,0.6043322201560625
7.0,0.4799282972318952,3.6749677632931386,8.253866813554609,10.070319578561412,0.0,0.0,7.0,0.6508193140142218
